sshleifer/distilbart-cnn-12-6,mrm8488/bert-small2bert-small-finetuned-cnn_daily_mail-summarization,microsoft/prophetnet-large-uncased-cnndm,t5-small,facebook/bart-large-cnn,google/pegasus-cnn_dailymail
"Yes

- The summary states that Daniel Radcliffe turns 18 and gains access to a reported $41.1 million fortune, which is supported by the article.
- The summary also mentions that Radcliffe has no plans to spend his money on fast cars, drink, and celebrity parties, which is supported by his statement in the article.
- The summary further states that Radcliffe's earnings from the first five Potter films have been held in a trust fund, which is also supported by the article.","Yes

Reasoning:
- The article states that Daniel Radcliffe has no plans to spend his money on fast cars, drink, and celebrity parties, which is consistent with the summary.
- The article mentions that Radcliffe's earnings from the first five Potter films have been held in a trust fund, which is consistent with the summary.
- The article mentions that Radcliffe will reprise the role of Harry Potter in the last two films, which is consistent with the summary.","Yes, the summary is consistent with the article. The article states that Daniel Radcliffe gains access to a reported £20 million ($41.1 million) fortune as he turns 18 on Monday, which aligns with the summary stating that he gains access to $41.1 million.","The summary is consistent with the article. 

1. The article states that the young actor, Daniel Radcliffe, has no plans to spend his money on fast cars, drink, and celebrity parties. The summary correctly mentions that he has no plans to fritter his cash away on these things.
2. The article mentions that Radcliffe will be able to gamble in a casino, buy a drink, and watch the horror film ""Hostel: Part II"" after turning 18. The summary accurately states that he will be able to do these things.
3. The article mentions that Radcliffe's agent and publicist had no comment on his plans for his 18th birthday. The summary correctly includes this information.
4. The article states that Radcliffe's latest outing as the boy wizard in ""Harry Potter and the Order of the Phoenix"" is breaking records on both sides of the Atlantic. The summary accurately mentions that his latest outing is breaking records.

All the information in the summary is supported by the article, therefore it is consistent.","The summary is consistent with the article. 

- The summary mentions that Daniel Radcliffe turns 18 on Monday, which is stated in the article.
- The summary states that Radcliffe gains access to a reported £20 million fortune, which is also mentioned in the article.
- The summary mentions that Radcliffe's earnings from the first five Potter films have been held in a trust fund, which is supported by the article.
- The summary states that the details of how Radcliffe will mark his birthday are under wraps, which is also mentioned in the article.","Yes

1. The article states that Daniel Radcliffe gains access to a reported £20 million fortune as he turns 18, which is consistent with the summary stating that he gains access to a reported £20 million fortune.
2. The article mentions that the young actor says he has no plans to fritter his cash away, which is consistent with the summary stating that he has no plans to fritter his cash away.
3. The article mentions that Radcliffe's earnings from the first five Potter films have been held in a trust fund, which is consistent with the summary stating that Radcliffe's earnings from the first five Potter films have been held in a trust fund."
"Yes

- The summary correctly states that Bush reclaimed presidential power at 9:21 a.m. after about two hours of the procedure.
- The summary also accurately mentions that all the polyps were small, less than a centimeter in diameter, as stated by the White House spokesman.
- The article mentions that Bush's last colonoscopy was in June 2002, with no abnormalities found, which is correctly summarized as stated by spokesman Tony Snow.
- Lastly, the summary correctly states that Bush is in good humor and will resume his activities at Camp David, as mentioned by the spokesman.","The summary is not consistent with the article. 

1. The summary states that Bush's last colonoscopy was in June 2002 and no abnormalities were found, which is consistent with the article.
2. The summary states that Vice President Dick Cheney assumed presidential power at 9:21 a.m. on Saturday, which is consistent with the article.
3. The summary states that Bush is in good humor and will resume his activities at Camp David, which is consistent with the article.
4. The summary states that President's first lady Laura Bush was celebrating her mother's birthday, which is not mentioned in the article.","Yes

Reasoning:
- The article states that five small polyps were removed from President Bush's colon.
- The article also states that ""none appeared worrisome"" according to a White House spokesman.
- Therefore, the summary accurately reflects this information from the article.","The summary is consistent with the corresponding article. 

1. The summary states that a White House spokesman said that ""none appeared worrisome"" regarding the polyps removed from President Bush's colon. This is supported by the article which mentions that the polyps were removed and sent for examination, and that results were expected in two to three days.

2. The summary mentions that the president will resume his activities at Camp David, which is supported by the article stating that Bush is in good humor and will resume his activities at Camp David.

3. The summary states that a colonoscopy is the most sensitive test for colon cancer and rectal cancer. This is supported by the article which mentions that a colonoscopy is the most sensitive test for colon cancer, rectal cancer, and polyps.

Therefore, all information in the summary is supported by the article.","The summary is consistent with the article. 

- The article states that doctors removed five small polyps from President Bush's colon, which matches the first sentence of the summary.
- The article also mentions that all the polyps were small, less than a centimeter in diameter, which is also mentioned in the summary.
- The article confirms that Vice President Dick Cheney assumed presidential power during the procedure, and the summary correctly states this.
- Lastly, the article does not provide a specific time for when Bush reclaimed presidential power, but it does mention that the procedure lasted about two hours. Therefore, the summary's statement that Bush reclaimed presidential power at 9:21 a.m. after about two hours is consistent with the information given in the article.

Based on these reasons, the answer is yes.","Yes

Reasoning: 
- The article states that five small polyps were removed from President Bush's colon, which is consistent with the summary.
- The article also mentions that none of the polyps appeared worrisome, which is included in the summary.
- The article confirms that Bush's last colonoscopy was in June 2002, which is mentioned in the summary.
- The article states that Bush had polyps removed during colonoscopies before becoming president, which is also mentioned in the summary."
"Yes

Reasoning:
- The article states that Tomas Medina Caracas, also known as ""El Negro Acacio,"" was a fugitive from a U.S. drug trafficking indictment.
- The article mentions that Medina Caracas was a member of the high command of the Fuerzas Armadas Revolucionarias de Colombia.
- The article states that the army's Rapid Response Force tracked Medina Caracas down at a FARC camp in the jungle in the south of the country.","The summary is consistent with the article. 

1. The article states that Tomas Medina Caracas was a key rebel commander and fugitive from a U.S. drug trafficking indictment. This is supported by the statement in the summary that he was a key rebel commander and fugitive from a U.S. drug trafficking indictment.

2. The article mentions that Medina Caracas was indicted in the United States along with two other FARC commanders in November 2002. This is consistent with the statement in the summary that he was indicted in the United States along with two other FARC commanders in November 2002.

3. The article states that Medina Caracas commanded FARC's 16th Front in the southern departments of Vichada and Guainia. This is consistent with the statement in the summary that he commanded FARC's 16th Front in the southern departments of Vichada and Guainia.

4. The article mentions that Medina Caracas was accused of conspiring to kidnap oil workers from Venezuela in 1997. This is consistent with the statement in the summary that he is accused of conspiring to kidnap oil workers from Venezuela in 1997.

Based on the consistency of the information, the answer is yes.",No evaluation possible.,"Yes

Reasoning:

- The summary accurately states that ""El Negro Acacio"" was a member of the high command of the guerrilla encampment.
- The article mentions that he was charged with conspiracy to import cocaine into the United States, which supports the second statement in the summary.
- The article also mentions that he helped manage the group's extensive cocaine trafficking network, which aligns with the third statement in the summary.","Yes.

1. The summary states that Tomas Medina Caracas was a member of the high command of the FARC. This is consistent with the article, as it mentions that he was a key rebel commander and member of the high command of the FARC.
2. The summary states that he was charged with conspiracy to import cocaine into the United States. This is supported by the article, as it mentions that he was charged by the U.S. Justice Department with conspiracy to import cocaine into the United States.
3. The summary states that U.S. officials alleged he managed FARC's sales of cocaine to international drug traffickers. This is supported by the article, as it mentions that he helped manage the FARC's extensive cocaine trafficking network.
4. The summary states that FARC is Colombia's oldest, largest, most capable and best-equipped rebel group. This is supported by the article, as it mentions that FARC is Colombia's oldest, largest, most capable and best-equipped Marxist rebel group according to the U.S. Department of State.","Yes

Reasoning:
- The summary states that Tomas Medina Caracas was a fugitive from a U.S. drug trafficking indictment, which is supported by the article.
- The summary states that he was killed over the weekend in an air attack on a guerrilla encampment, which is supported by the article.
- The summary states that U.S. officials alleged he managed the FARC's cocaine trafficking network, which is supported by the article."
"Yes

Reasoning:
- The summary states that a 20-year-old AT4 anti-tank rocket launcher tube was found on the front lawn of a Jersey City, New Jersey, home. This is consistent with the information provided in the article.
- The summary states that the device is no longer operable and not considered to be a hazard to public safety, as stated by the police in the article.
- The summary states that Army officials could not determine if the launcher had been fired, but indicated they should know once they find out where it came from. This is consistent with the information provided in the article.","The summary is not consistent with the article. 

1. The article does not mention the age of Niranjan Desai, so it is incorrect to say that she is 20 years old.
2. The article does not provide any information about the distance between the launcher and the nearest military base, so it is incorrect to say that it was turned over at least 70 miles from the nearest military base.","Yes, the summary is consistent with the article. It accurately states that an empty AT4 anti-tank rocket launcher tube was found on the front lawn of a New Jersey home.","Yes

Reasoning:
- The summary accurately states that the 20-year-old AT4 anti-tank rocket launcher tube was found on the lawn of a Jersey City home.
- The article mentions that the launcher has been turned over to the 754th Ordnance Company, an explosive ordnance disposal unit.
- The article states that there is no indication that the launcher had been fired recently.","The summary is consistent with the article. It accurately states that a rocket launcher tube was found on the front lawn of a home in Jersey City, New Jersey. It also correctly mentions that the launcher is a one-time-use device and that it is no longer operable and not considered a hazard.","The summary is consistent with the corresponding article. 

1. The summary mentions that the launcher was turned over to U.S. Army officials at Fort Monmouth, New Jersey. This information is supported by the article.
2. The summary states that the launcher was found on a New Jersey woman's lawn. This information is supported by the article.
3. The summary states that the launcher is no longer operable and not considered to be a hazard. This information is supported by the article.
4. The summary states that the device is basically a shoulder-fired, direct-fire weapon used against ground targets. This information is supported by the article."
"The summary is consistent with the corresponding article. 

1. The article mentions that Carlos Alberto has joined Werder Bremen for a club record fee of 7.8 million euros, and the summary reflects this information.
2. The article states that Carlos Alberto enjoyed success at FC Porto under Jose Mourinho, and the summary mentions this as well.
3. The article mentions that Carlos Alberto scored in the Champions League final victory against Monaco in 2004, and the summary reflects this information.
4. The article states that Carlos Alberto has been on loan with his first club Fluminense since January, and the summary mentions this as well.

Therefore, all the information in the summary is supported by the article, making it consistent. Yes.","Step 1: The summary states that Carlos Alberto has joined Bundesliga club Werder Bremen for a club record fee of 7.8 million euros. 
- This information is supported by the article, which states that Carlos Alberto has joined Werder Bremen for a club record fee.

Step 2: The summary states that Carlos Alberto scored in FC Porto's Champions League final victory against Monaco in 2004. 
- This information is supported by the article, which states that Carlos Alberto scored in FC Porto's Champions League final victory against Monaco in 2004.

Step 3: The summary states that Carlos Alberto scored in the Champions League last year.
- This information is not supported by the article. The article does not mention anything about Carlos Alberto scoring in the Champions League last year.

Based on the above reasoning, the answer is no. The summary is not consistent with the corresponding article.","The summary is consistent with the article. The article states that Carlos Alberto has joined Bundesliga club Werder Bremen, which matches the information in the summary. The article also mentions that Carlos Alberto is a Brazilian defender, which is also mentioned in the summary. Therefore, all the information in the summary is supported by the article. Yes.","Yes

Reasoning:
- The summary states that Carlos Alberto joins Werder Bremen for a club record fee of 7.8 million euros, which is supported by the article.
- The summary mentions that Carlos Alberto scored in FC Porto's Champions League final victory against Monaco in 2004, which is supported by the article.
- The summary states that Carlos Alberto started his career with Fluminense and helped them lift the Campeonato Carioca in 2002, which is supported by the article.","1. The article mentions that Carlos Alberto has joined Werder Bremen for a club record fee of 7.8 million euros ($10.7 million). - Consistent
2. The article mentions that Carlos Alberto scored in FC Porto's Champions League final victory against Monaco in 2004. - Consistent
3. The article mentions that Carlos Alberto is the third top Brazilian player to join the German league in three days. - Inconsistent, the article does not mention this information.

Based on the step-by-step analysis, the answer is no, the summary is not consistent with the corresponding article.","Step 1: The article mentions that Carlos Alberto has joined Werder Bremen from FC Porto. This is consistent with the summary.

Step 2: The article states that Carlos Alberto joined Werder Bremen for a club record fee of 7.8 million euros ($10.7 million). This is consistent with the summary.

Step 3: The article mentions that Carlos Alberto has been on loan at Fluminense since January. This is consistent with the summary.

Based on the above analysis, the answer is yes, the summary is consistent with the corresponding article."
"The summary is consistent with the article. 
- The article mentions that Vice President Dick Cheney will serve as acting president briefly on Saturday, which is also mentioned in the summary. 
- The article states that White House spokesman Tony Snow is undergoing chemotherapy for colon cancer, which is also mentioned in the summary. 
- The article mentions that Bush's last colonoscopy was in June 2002, and no abnormalities were found, which is also mentioned in the summary. 
- The article states that a colonoscopy is the most sensitive test for colorectal cancer, rectal cancer, and polyps, which is also mentioned in the summary.","The summary accurately reflects the information in the article.

1. The summary states that Bush's last colonoscopy was in June 2002 and no abnormalities were found. This is supported by the article, which mentions the same information.

2. The summary mentions that Bush is scheduled to have the procedure, expected to take about 2 1/2 hours. This is also supported by the article.

3. The summary includes the statement, ""The president wants to encourage everybody to use surveillance."" This statement is supported by the article, which quotes White House spokesman Tony Snow saying, ""The president wants to encourage everybody to use surveillance.""

4. The summary states that Bush is undergoing chemotherapy for cancer that began in his colon. This is supported by the article, which mentions that Tony Snow, the White House spokesman, is undergoing chemotherapy for cancer that began in his colon.

Based on the above analysis, the summary is consistent with the corresponding article.","Yes

Reasoning:
- The article states that Vice President Dick Cheney will serve as acting president while President Bush has a colonoscopy.
- The article also mentions that the procedure will take about 2 1/2 hours and will be conducted at the presidential retreat at Camp David.
- It is stated that Bush's last colonoscopy was in June 2002 and no abnormalities were found.
- The procedure will be supervised by Dr. Richard Tubb and conducted by a multidisciplinary team from the National Naval Medical Center in Bethesda, Maryland.
- The article mentions that a colonoscopy is the most sensitive test for colon cancer, rectal cancer, and polyps, and that small polyps may be removed during the procedure.
- White House spokesman Tony Snow, who is undergoing chemotherapy for colon cancer, encourages everyone to use surveillance for early detection.
- The American Cancer Society recommends people without high-risk factors or symptoms to begin getting screened for colorectal cancer at age 50.

Therefore, all the information in the summary is supported by the article.","The summary is consistent with the article. 

1. The article mentions that the president's doctor recommended a repeat colonoscopy in about five years. The summary includes this information.
2. The article states that a colonoscopy is the most sensitive test for colon cancer and rectal cancer. The summary includes this information.
3. The article quotes the spokesman saying, ""the president wants to encourage everybody to use surveillance."" The summary includes this statement.

Therefore, all the information in the summary is supported by the article. Yes.","The summary accurately reflects the information in the article. It mentions that Vice President Dick Cheney will serve as acting president, which is supported by the statement that Cheney will assume the role while President Bush is anesthetized. It also states that Bush is scheduled to have a routine colonoscopy at Camp David, which is supported by the statement that Bush will have the procedure at the presidential retreat. The summary mentions that no abnormalities were found during Bush's last procedure in June 2002, which is supported by the statement that his previous colonoscopy yielded no abnormalities. Lastly, it mentions that White House spokesman Tony Snow is undergoing chemotherapy for colon cancer, which is supported by the statement that Snow himself is undergoing chemotherapy for cancer that began in his colon and spread to his liver. Therefore, the summary is consistent with the article. 

Yes.","The summary is consistent with the corresponding article. 

1. The summary states that President Bush will have a routine colonoscopy on Saturday, which is supported by the article.
2. The summary mentions that Vice President Dick Cheney will serve as acting president, which is also stated in the article.
3. The summary states that Bush's last colonoscopy was in June 2002, and this information is mentioned in the article as well.
4. The summary mentions that a colonoscopy is the most sensitive test for colon cancer, rectal cancer, and polyps, which is supported by the article's mention of the procedure and its purpose.

Therefore, all the information in the summary is supported by the article, and it is consistent. Yes."
"The summary is consistent with the corresponding article. 

Step 1: The article mentions that about 2,000 customers were left without power in the San Francisco area. The summary includes this information, stating ""About 2,000 customers without power in San Francisco area."" 

Step 2: The article quotes Capt. Al Casciato of the San Francisco police, who says, ""We had quite a spike in calls, mostly calls of inquiry, none of any injury, none of any damage that was reported."" The summary accurately summarizes this quote, stating ""Police: 'We had quite a spike in calls, mostly calls of inquiry, none of any injury, no damage'.""

Step 3: The article states that the quake was centered about two miles east-northeast of Oakland, at a depth of 3.6 miles. The summary includes this information, stating ""The quake was centered about two miles east-northeast of Oakland, at a depth of 3.6 miles.""

Step 4: The article mentions that the shaking lasted about 50 seconds, according to the USGS. The summary accurately includes this information, stating ""The shaking lasted about 50 seconds, USGS says.""

Since all the information in the summary is supported by the article, the answer is yes.","Yes.

1. The summary mentions that a magnitude 4.2 earthquake hit San Francisco at 4:42 a.m. PT. This information is supported by the article, which states that a magnitude 4.2 earthquake shook the San Francisco area at that time.
2. The summary states that the earthquake left about 2,000 customers without power. This information is supported by the article, which quotes a spokesman for Pacific Gas and Light confirming that the quake left about 2,000 customers without power.
3. The summary mentions that the quake was centered two miles east-northeast of Oakland, at a depth of 3.6 miles. This information is supported by the article, which states that the quake was centered about two miles east-northeast of Oakland, according to the USGS.",Yes. The summary accurately states that a magnitude 4.2 earthquake occurred in the San Francisco area at 4:42 a.m. PT. This information is supported by the article.,"The summary is consistent with the article. 

1. The article mentions that the quake left about 2,000 customers without power, which is stated in the summary.
2. The article states that a magnitude 4.2 earthquake is considered ""light"" and usually causes minimal damage, which is also mentioned in the summary.
3. The article mentions that magnitude 4.2 quakes are felt indoors and may break dishes, windows, and overturn unstable objects, which is stated in the summary. 

All the information in the summary is supported by the article. 

Therefore, the answer is yes.","Step 1: The summary states that about 2,000 customers were without power in the San Francisco area. 
This information is supported by the article which mentions that the earthquake left about 2,000 customers without power, according to a spokesman for Pacific Gas and Light. 

Step 2: The summary states that the quake was centered about two miles east-northeast of Oakland, at a depth of 3.6 miles. 
This information is supported by the article which states that the quake was centered about two miles east-northeast of Oakland, according to the USGS. 

Step 3: The summary states that Oakland is just east of San Francisco, across San Francisco Bay. 
This information is supported by the article which mentions that Oakland is just east of San Francisco, across San Francisco Bay. 

Step 4: The summary states that the shaking lasted about 50 seconds, according to CNN meteorologist Chad Myers. 
This information is supported by the article which mentions that the shaking lasted about 50 seconds, according to CNN meteorologist Chad Myers. 

All the information in the summary is supported by the article. Therefore, the answer is Yes.","Step 1: The summary states that about 2,000 customers were without power. 
This information is supported by the article, which states that the earthquake left about 2,000 customers without power according to a spokesman for Pacific Gas and Light. 

Step 2: The summary states that it was fairly mild, according to a San Francisco police captain. 
This information is supported by the article, which quotes Capt. Al Casciato of the San Francisco police saying that the earthquake was ""fairly mild"" and that there were no reports of injury or damage.

Step 3: The summary states that the quake was centered two miles east-northeast of Oakland, at a depth of 3.6 miles. 
This information is supported by the article, which states that the quake was centered about two miles east-northeast of Oakland, at a depth of 3.6 miles according to the USGS.

Based on the above analysis, the summary is consistent with the corresponding article."
"The summary is consistent with the article. 

1. The article states that a suspect person escaped immediately after the bomb exploded, which matches the statement in the summary: ""Suspect escaped 'immediately after the bomb exploded,' Algeria's interior minister says.""

2. The article mentions that President Bouteflika stated that terrorist acts have nothing in common with the noble values of Islam. This aligns with the summary statement: ""President Bouteflika says terrorist acts have nothing in common with the noble values of Islam.""

3. The article confirms that the explosion occurred at 5 p.m. about 20 meters from a mosque in Batna, east of Algiers. The summary accurately states: ""Explosion occurred at 5 p.m. about 20 meters (65 feet) from a mosque in Batna, east of Algiers.""

4. The article mentions that Algeria faces a continuing Islamic insurgency, according to the CIA. The summary reflects this information: ""Algeria faces a continuing Islamic insurgency, according to the CIA.""

Therefore, all the information in the summary is supported by the article, making it consistent.","The summary is consistent with the article. 

1. The article mentions that the bomb went off 15 minutes before the expected arrival of President Abdel-Aziz Bouteflika, which matches the statement in the summary that the bomb went off before the president's arrival.
2. The article also states that Algeria faces a continuing Islamic insurgency, which is supported by the statement in the summary that Algeria is facing a continued Islamic insurgency.
3. The summary includes a statement by Algeria's Interior Minister Noureddine Yazid Zerhouni, which is also mentioned in the article.

Therefore, all the information in the summary is supported by the article. Yes.","Yes

Reasoning:
- The article states that a bomb exploded 15 minutes before the expected arrival of Algeria's president.
- The summary accurately states that a bomb goes off 15 minutes before the expected arrival of Algeria's president.","Yes

- The summary states that at least 14 people were killed and 60 wounded, which is consistent with the article's report of the number of casualties.
- The summary mentions that the bomb went off 15 minutes before the expected arrival of President Abdel-Aziz Bouteflika, which is supported by the article.
- The summary acknowledges that it is unclear whether the bomb was caused by a suicide bomber, which is also mentioned in the article.","The summary accurately reflects the information provided in the article. It mentions that the interior minister stated a suspect tried to go beyond the security cordon, which is supported by the statement in the article. It also mentions that President Bouteflika said terrorist acts have nothing in common with the noble values of Islam, which is also supported by the article. Additionally, the summary states that at least 14 people were killed and 60 others wounded in the attack in Batna, which is consistent with the information in the article. Finally, the summary mentions that there was no immediate claim of responsibility for the bombing, which is also supported by the article. Therefore, the answer is yes.","Yes

Reasoning:
- The summary states that a bomb went off 15 minutes before the expected arrival of President Bouteflika, which is supported by the article.
- The summary mentions that it wasn't clear if the bomb was caused by a suicide bomber or if it was planted, which is also mentioned in the article.
- The summary states that Algeria faces a continuing Islamic insurgency, according to the CIA, which is a statement mentioned in the article."
"The summary is not consistent with the article. 
- The summary mentions that Beckham has joined the Galacticos of Madrid, which is not mentioned in the article. 
- The summary does not mention Beckham's marriage to pop star Victoria, which is mentioned in the article.","The summary is consistent with the article. The summary mentions that CNN looks at what makes Beckham tick as a footballer, fashion icon, and global phenomenon, which is supported by the article's statement that CNN's Becky Anderson sets out to examine what makes the man tick. The summary also mentions Beckham's rise to football stardom, which is supported by the article's statement that Becky charts Beckham's incredible rise to football stardom. Lastly, the summary mentions that Beckham has teamed with Reggie Bush in an Adidas commercial and is the face of Motorola, which is supported by the article's statement that Beckham has teamed with Reggie Bush in an Adidas commercial and is the face of Motorola. Therefore, the summary is consistent with the article.","The summary is consistent with the article. The article states that David Beckham has begun a five-year contract with the Los Angeles Galaxy team, which matches the information in the summary. Therefore, the answer is yes.","Yes

Reasoning:
- The summary mentions that David Beckham has begun a five-year contract with the Los Angeles Galaxy team, which is supported by the article stating that Beckham has joined Major League Soccer and has signed with the Los Angeles Galaxy team.
- The summary also mentions that they will take an in-depth look at the life and times of Beckham, which is supported by the article stating that they will examine what makes Beckham tick as a footballer, fashion icon, and global phenomenon.","Yes

- The summary states that David Beckham has begun a five-year contract with the Los Angeles Galaxy, which is supported by the article.
- The summary mentions that CNN's Becky Anderson charts Beckham's rise to football stardom, which is consistent with the article's description of Becky Anderson examining Beckham's life and times.
- The summary states that the article looks back at Beckham's life, which is supported by the article discussing Beckham's journey from playing for Manchester United to his marriage to Victoria and his time playing for England.
- The summary mentions getting a rare glimpse inside the David Beckham academy in L.A., which is supported by the article mentioning the academy and exploring what drives the kids who attend it.","The summary is consistent with the article. 

1. The summary mentions that CNN's Becky Anderson looks at the life and times of David Beckham. This is supported by the article, which states that Becky Anderson sets out to examine what makes Beckham tick as a footballer, fashion icon, and global phenomenon.

2. The summary states that Beckham has begun a five-year contract with the Los Angeles Galaxy team. This is supported by the article, which mentions that Beckham has signed a five-year contract with the Los Angeles Galaxy team.

3. The summary asks how Beckham and his family will adapt to life in Los Angeles. This is supported by the article, which mentions that Beckham's move to Los Angeles and his adaptation to life there will be explored.

Therefore, all the information in the summary is supported by the article, making the summary consistent. Yes."
"Yes

- The article states that long lines formed before counters opened at Northern Rock, indicating that there were long lines of customers at the bank.
- The article also states that customers have already withdrawn about £1 billion since the bank's woes were revealed, supporting the claim that customers have withdrawn a significant amount of money.
- The article mentions that shares in Northern Rock dropped up to 30 percent in Friday trading, indicating that there were problems with the bank that affected its stock price.
- The article also mentions that the problems with Northern Rock spilled over to the European banking sector, supporting the claim that the problems affected other banks as well.","Yes

Reasoning:
- The article mentions that a UK mortgage bank was bailed out by the Bank of England after heavily slashing profit forecasts. This is consistent with the summary stating that the lender was bailed out after heavily slashing profit forecasts.
- The article mentions that customers have already withdrawn about £1 billion ($2 billion) since the bank's woes were revealed. This is consistent with the summary stating that customers are believed to have already withdrawn about £1 billion ($2 billion).
- The article mentions that shares in Northern Rock dropped up to 30 percent in Friday trading. This is consistent with the summary stating that shares in Northern Rock dropped up to 30 percent in Friday trading.","The summary is not consistent with the corresponding article. The summary only mentions that savers at a leading UK mortgage bank are lining up to empty their accounts, but it does not provide any additional information or mention the bank's bailout by the Bank of England, the slashing of profit forecasts, the withdrawal of £1 billion by customers, the drop in Northern Rock's shares, or the reassurances from the bank and the government.","Yes

1. The article mentions that the Bank of England bailed out the mortgage bank after heavily slashing profit forecasts. This supports the statement in the summary that the bank was bailed out after slashing profit forecasts.
2. The article states that customers lined up to withdraw cash from the mortgage bank. This supports the statement in the summary that customers lined up to withdraw cash.
3. The article mentions that worried customers ignored reassurances from the bank and the government. This supports the statement in the summary that fears customers ignored reassurances from the bank and the government.","The summary is consistent with the article. 

1. The article mentions that savers at a leading UK mortgage bank lined up for a second day to empty their accounts. This is mentioned in the summary as ""Savers at leading UK mortgage bank line up for a second day to empty accounts.""

2. The article states that Northern Rock was bailed out by the Bank of England after slashing profit forecasts. This is mentioned in the summary as ""Northern Rock was bailed out by the Bank of England after slashing profit forecasts.""

3. The article mentions that shares in Northern Rock dropped up to 30 percent in Friday trading. This is mentioned in the summary as ""Shares in Northern Rock dropped up to 30 percent in Friday trading.""

4. The article states that the British Bankers' Association urged customers to ""calm down."" This is mentioned in the summary as ""British Bankers' Association has urged customers to 'calm down'.""

All the information in the summary is supported by the article. Therefore, the answer is yes.","Yes

Reasoning:
- The article mentions that savers at a leading UK mortgage bank lined up for a second day to empty their accounts, which aligns with the summary stating that savers lined up to empty accounts.
- The article states that Northern Rock was bailed out by the Bank of England after heavily slashing profit forecasts, which corresponds to the summary mentioning that the bank was bailed out after slashing profit forecasts.
- The article mentions that the British Bankers' Association urged customers to ""calm down,"" which is accurately reflected in the summary."
