sshleifer/distilbart-cnn-12-6,mrm8488/bert-small2bert-small-finetuned-cnn_daily_mail-summarization,microsoft/prophetnet-large-uncased-cnndm,t5-small,facebook/bart-large-cnn,google/pegasus-cnn_dailymail
"Yes

Reasoning:
- The summary accurately mentions that Daniel Radcliffe turns 18 and gains access to a reported $41.1 million fortune.
- The summary correctly states that Radcliffe has no plans to spend his money on fast cars, drink, or celebrity parties.
- The summary mentions that Radcliffe's earnings from the first five Potter films have been held in a trust fund, which is consistent with the article.","The summary is not coherent with the article. 

1. The summary includes some information about Daniel Radcliffe's plans for his money, but it does not mention his statement about not being extravagant and only liking to buy inexpensive items.
2. The summary mentions the trust fund holding Radcliffe's earnings, but it does not mention that he gains access to the money on his 18th birthday.
3. The summary briefly mentions that Radcliffe will reprise his role in the last two Harry Potter films, but it does not provide any details about his current film ""Harry Potter and the Order of the Phoenix.""
4. The summary does not mention Radcliffe's other projects, such as the TV movie ""My Boy Jack"" and the Australian film ""December Boys.""
5. The summary does not mention Radcliffe's thoughts on media scrutiny now that he is an adult.","No, the summary is not coherent with the article. The summary only mentions that Daniel Radcliffe gains access to a reported $41.1 million as he turns 18, but it does not provide any further information or context from the article. It lacks structure and flow of ideas, making it difficult to understand and follow.","The summary is not coherent with the article. 

1. The first sentence of the summary is accurate as it mentions that the young actor has no plans to spend his money on fast cars, drink, and celebrity parties, which aligns with the article.
2. The second sentence of the summary is accurate as it mentions that he will be able to gamble in a casino, buy a drink, or see the horror film ""Hostel: Part II,"" which aligns with the article.
3. The third sentence of the summary is inaccurate as it mentions that his agent and publicist had no comment on his plans, which is not mentioned in the article.
4. The fourth sentence of the summary is accurate as it mentions that his latest outing as the boy wizard is breaking records on both sides of the Atlantic, which aligns with the article.

Since there is an inaccuracy in the summary, it is not coherent with the article.","The summary is coherent with the article. It includes the main points of the article, such as Daniel Radcliffe turning 18 and gaining access to his fortune, the details about his earnings from the Harry Potter films being held in a trust fund, and the fact that the details of his birthday plans are unknown. The summary is structured and flows logically, making it easy to understand and follow. Therefore, the answer is yes.","The summary is not coherent with the article. 
1. The summary mentions that Daniel Radcliffe gains access to a reported £20 million fortune, but it does not provide any context or explanation about why he gains access to this fortune.
2. The summary mentions that the young actor has no plans to fritter his cash away, but it does not provide any details or quotes from the article to support this statement.
3. The summary briefly mentions that Radcliffe's earnings from the first five Potter films have been held in a trust fund, but it does not provide any further information or explanation about this trust fund.
Overall, the summary lacks structure and flow of ideas, and it does not effectively summarize the main points of the article."
"The summary is coherent with the article. It includes the key information from the article, such as the removal of five polyps from President Bush's colon, the size of the polyps, the fact that Bush is in good humor and will resume his activities, and the information about his previous colonoscopy. The summary also presents the information in a clear and logical order, making it easy to understand and follow. Therefore, the answer is yes.","The summary provided does not seem to be coherent with the corresponding article. 

1. The first sentence of the summary mentions that Bush's last colonoscopy was in June 2002, but this information is not mentioned in the article.
2. The second sentence of the summary mentions that Vice President Dick Cheney assumed presidential power at 9:21 a.m. on Saturday, but there is no information in the article about Cheney assuming presidential power during the procedure.
3. The third sentence of the summary states that Bush is in good humor and will resume his activities at Camp David, which is mentioned in the article.
4. The fourth sentence of the summary mentions that Laura Bush was celebrating her mother's birthday, but there is no information in the article about Laura Bush's activities or celebrations.

Based on these discrepancies, the summary does not have a clear structure and flow of ideas that align with the article. Therefore, the answer is no.","The summary is not coherent with the article. While it does mention the removal of five small polyps and the statement from the White House that they were not worrisome, it does not include any other important details from the article such as the location of the examination, the president's condition, the use of monitored anesthesia care, and the activities of Vice President Cheney.","The summary is not coherent with the corresponding article. 

Reasoning:

1. The first sentence of the summary states that ""none appeared worrisome,"" which refers to the polyps that were removed from President Bush's colon. This information is present in the article.

2. The second sentence of the summary states that the president will resume his activities at Camp David. This information is also present in the article.

3. The third sentence of the summary states that a colonoscopy is the most sensitive test for colon cancer and rectal cancer. While this is true, it is not directly mentioned in the article.

Based on this analysis, the summary does not have a clear structure and flow of ideas that aligns with the article. Therefore, the answer is no.","The summary is not coherent with the corresponding article. 

Reasoning:
1. The summary mentions that doctors removed five small polyps from President Bush's colon, which is mentioned in the article.
2. The summary also mentions that all the polyps were small, less than a centimeter in diameter, which is also mentioned in the article.
3. However, the summary jumps to the statement that Bush reclaimed presidential power at 9:21 a.m. after about two hours, without providing any context or explanation. 
4. The summary also mentions that Vice President Dick Cheney assumed presidential power during the procedure, which is not mentioned in the article.

Therefore, the summary lacks coherence and does not have a clear structure or flow of ideas.","The summary is coherent with the corresponding article. 

Reasoning:
- The summary includes the main information from the article, which is the removal of five small polyps from President Bush's colon.
- It also mentions that the polyps were not worrisome and provides information about Bush's previous colonoscopy in 2002.
- Additionally, it states that Bush had polyps removed during colonoscopies before becoming president, which is mentioned in the article.
- The summary is concise and presents the information in a clear and logical manner.

Therefore, the answer is yes."
"Yes, the summary is coherent with the corresponding article. The summary provides a clear structure and flow of ideas, starting with the introduction of Tomas Medina Caracas as a fugitive from a U.S. drug trafficking indictment. It then mentions his affiliation with the Fuerzas Armadas Revolucionarias de Colombia and concludes by stating that he was tracked down at a FARC camp in the south of the country by the army's Rapid Response Force. The summary accurately captures the main points of the article in a concise manner.","Step 1: The summary includes the key information from the article, such as the fact that Tomas Medina Caracas was a key rebel commander and fugitive from a U.S. drug trafficking indictment. It also mentions that he was indicted in the United States along with two other FARC commanders in November 2002.

Step 2: The summary includes additional details about Medina Caracas, such as the fact that he commanded FARC's 16th Front in the southern departments of Vichada and Guainia.

Step 3: The summary mentions that Medina Caracas is accused of conspiring to kidnap oil workers from Venezuela in 1997.

Step 4: The summary is coherent and follows a logical structure, starting with basic information about Medina Caracas and then providing additional details.

Based on these steps, the summary is coherent with the corresponding article.","No, the summary is not coherent with the article. The summary abruptly ends after mentioning Tomas Medina Caracas as a member of the high command of the Fuerzas Armadas Revolucionarias de Colombia. It does not provide any information about his death or the air attack on the guerrilla encampment, which are the main points of the article.","The summary is not coherent with the corresponding article. 

1. The summary mentions ""El Negro Acacio"" being a member of the high command of the guerrilla encampment, but it does not provide any information about his role in the FARC or his involvement in the cocaine trafficking network.
2. The summary mentions that he was charged with conspiracy to import cocaine into the United States, but it does not mention that he was also charged with manufacturing and distributing cocaine within Colombia to fund the FARC's insurgency.
3. The summary does not mention the air attack on the guerrilla encampment or the fact that Medina Caracas was killed in the attack.
4. The summary does not mention the army's Rapid Response Force or the Colombian Air Force's involvement in tracking down Medina Caracas.
5. The summary does not mention the discovery of the dead rebels and the weapons and equipment found at the camp.
6. The summary does not mention FARC's history, its establishment as the military wing of the Colombian Communist Party, or its status as Colombia's oldest, largest, most capable, and best-equipped Marxist rebel group.

Overall, the summary is lacking in important details and does not follow the structure and flow of ideas present in the article.","Yes

Reasoning:

- The summary accurately mentions that Tomas Medina Caracas was a member of the high command of the FARC, which is mentioned in the article.
- The summary correctly states that he was charged with conspiracy to import cocaine into the United States, which is mentioned in the article.
- The summary accurately states that U.S. officials alleged that he managed FARC's sales of cocaine to international drug traffickers, which is mentioned in the article.
- The summary correctly mentions that FARC is Colombia's oldest, largest, most capable, and best-equipped rebel group, which is mentioned in the article.","The summary is coherent with the article. It includes the main points of the article in a logical order, starting with Tomas Medina Caracas being a fugitive from a U.S drug trafficking indictment, followed by his death in an air attack on a guerrilla encampment, and concluding with the allegation that he managed the FARC's cocaine trafficking network. The summary is concise and easy to understand, making it a clear and coherent representation of the article. Therefore, the answer is yes."
"The summary is coherent with the corresponding article. 

1. The summary begins by mentioning the discovery of a 20-year-old AT4 anti-tank rocket launcher tube on the front lawn of a home in Jersey City, New Jersey.
2. It then states that the device is no longer operable and not considered a hazard to public safety, which is in line with what the police said in the article.
3. The summary concludes by mentioning that army officials are unable to determine if the launcher had been fired and that they hope to find out its origin.

The summary follows a logical structure and presents the main points of the article in a clear and concise manner. Therefore, it is coherent with the corresponding article. Yes.","The summary does not appear to be coherent with the article. 

1. The summary mentions that Niranjan Desai is 20 years old, which is not mentioned in the article.
2. The summary states that the launcher has been turned over to U.S. Army officials at the 754th Ordnance Disposal Unit, but it does not mention that it is no longer operable and not considered a hazard to public safety, as stated in the article.
3. The summary incorrectly states that the launcher has been turned over at least 70 miles from the nearest military base, while the article mentions that Fort Dix is more than 70 miles from Jersey City but does not specify where the launcher was turned over.
4. The summary does not mention the investigation by the Joint Terrorism Task Force division of the FBI and Jersey City police, which is mentioned in the article.

Based on these discrepancies, the summary is not coherent with the article.","The summary is not coherent with the article. The summary only mentions the discovery of the rocket launcher tube on a New Jersey home's front lawn, without providing any further details or information mentioned in the article. The summary lacks the information about the investigation, the involvement of the police, FBI, and U.S. Army officials, and the potential threat it posed.","The summary is not coherent with the corresponding article. 

Reasoning:
1. The summary mentions that the AT4 anti-tank rocket launcher tube was found on someone's lawn, which is accurate.
2. The summary states that the device has been turned over to the 754th Ordnance Company, which is also mentioned in the article.
3. The summary mentions that there is no indication the launcher had been fired recently, which is also mentioned in the article.

However, the summary lacks important details and does not provide a clear structure or flow of ideas. It does not mention the investigation by the police and FBI, the involvement of the U.S. Army officials, the distance of the nearest military base, the Joint Terrorism Task Force's involvement, the appearance and features of the launcher, and the potential threat it poses. These details are important for understanding the context and significance of the discovery.","The summary is coherent with the corresponding article. It includes the main points of the article in a clear and logical order, providing an overview of the incident involving the discovery of the rocket launcher tube. The summary mentions the location of the incident, the type of launcher found, the fact that it is no longer operable, and the statement from the police regarding its lack of hazard to public safety. Overall, the summary captures the key details of the article and presents them in a concise manner. Therefore, the answer is yes.","Yes, the summary is coherent with the corresponding article. 

- It mentions that the rocket launcher tube was turned over to U.S. Army officials at Fort Monmouth, New Jersey, which is consistent with the information in the article.
- It states that the launcher is no longer operable and not considered a hazard, which is also mentioned in the article.
- It describes the launcher as a shoulder-fired, direct-fire weapon used against ground targets, which aligns with the information provided in the article.
- It summarizes the key points of the article without introducing any new information."
"Step 1: The summary correctly states that Carlos Alberto joins Werder Bremen for a club record fee of 7.8 million euros ($10.7 million). This information is mentioned in the article.

Step 2: The summary mentions that Carlos Alberto enjoyed success at FC Porto under Jose Mourinho. This information is also mentioned in the article.

Step 3: The summary states that Carlos Alberto scored in the Champions League final victory against Monaco in 2004. This information is mentioned in the article.

Step 4: The summary mentions that Carlos Alberto has been on loan with his first club Fluminense since January of the current year. This information is also mentioned in the article.

Based on these steps, the summary is coherent with the corresponding article. 

Yes.","The summary is not coherent with the corresponding article. 

1. The summary mentions that Carlos Alberto has joined Werder Bremen for a club record fee, which is accurate according to the article.
2. The summary also mentions that Carlos Alberto scored in FC Porto's Champions League final victory against Monaco in 2004, which is also accurate according to the article.
3. However, the summary includes a sentence that states ""the Brazilian scored in the Champions League last year,"" which is not mentioned in the article. This statement is unrelated to the information provided in the article and does not flow logically with the rest of the summary.

Therefore, the summary is not coherent with the corresponding article.","The summary is not coherent with the corresponding article. 

Reasoning:
1. The summary mentions that Carlos Alberto is a Brazilian defender, but the article does not specify his position.
2. The summary does not mention Carlos Alberto's previous club, FC Porto, or his success in the Champions League final.
3. The summary does not mention Carlos Alberto's career with Fluminense or Corinthians.
4. The summary does not mention the signing of other Brazilian players by Bundesliga clubs.","The summary is not coherent with the corresponding article. 

1. The summary mentions that Carlos Alberto joins Werder Bremen for a club record fee, but it does not mention that he scored in FC Porto's Champions League final victory against Monaco in 2004.
2. The summary mentions that Carlos Alberto started his career with Fluminense and helped them lift the Campeonato Carioca in 2002, but it does not mention his time at FC Porto and Corinthians.
3. The summary lacks a clear structure and flow of ideas. It jumps from Carlos Alberto joining Werder Bremen to his time at Fluminense without providing a logical connection between the two.","Step 1: The summary mentions that Carlos Alberto has joined Werder Bremen for a club record fee of $10.7 million. This is supported by the information in the article that states Carlos Alberto has joined Bremen for a club record fee of 7.8 million euros ($10.7 million). 

Step 2: The summary mentions that Carlos Alberto scored in FC Porto's Champions League final victory in 2004. This is supported by the information in the article that states Carlos Alberto scored in FC Porto's Champions League final victory against Monaco in 2004.

Step 3: The summary mentions that Carlos Alberto is the third top Brazilian player to join the German league in three days. This is not supported by the information in the article. The article does mention that Ewerthon, another Brazilian player, is expected to join VfB Stuttgart, but it does not mention that Carlos Alberto is the third top Brazilian player to join the German league.

Based on the analysis, the summary is partially coherent with the corresponding article.","The summary is not coherent with the corresponding article. 

1. The first sentence of the summary is accurate, stating that Brazilian striker Carlos Alberto joins Werder Bremen from FC Porto.
2. The second sentence is also accurate, mentioning that he joins for a club record fee of $10.7 million.
3. However, the third sentence of the summary, stating that he has been on loan at Fluminense since January, is not mentioned in the article. The article only mentions that Carlos Alberto started his career with Fluminense but does not provide any information about him being on loan there.

Therefore, the summary is missing important details and is not coherent with the article."
"The summary is not coherent with the corresponding article. 

1. The summary starts by mentioning that Vice President Dick Cheney will serve as acting president briefly on Saturday. This is mentioned in the article, so this part is coherent.
2. The summary then jumps to mentioning that White House spokesman Tony Snow is undergoing chemotherapy for colon cancer. This information is not mentioned in the article, so this part is not coherent.
3. The summary briefly mentions that Bush had a colonoscopy in June 2002 with no abnormalities found. This information is mentioned in the article, so this part is coherent.
4. The summary concludes by mentioning that the procedure is the most sensitive test for colorectal cancer, rectal cancer, and polyps. This information is mentioned in the article, so this part is coherent.

Overall, the summary includes some information from the article, but it also includes information that is not mentioned in the article, making it incoherent.","The summary is not coherent with the corresponding article. 

1. The summary starts by mentioning that the White House spokesman said that Bush's last colonoscopy in June 2002 found no abnormalities. This information is mentioned in the article, but it is not the main focus or the central idea.
2. The summary then mentions that Bush is scheduled to have the procedure, expected to take about 2 1/2 hours. This information is also mentioned in the article, but again, it is not the main focus or the central idea.
3. The summary then abruptly jumps to a quote from the White House spokesman saying that ""the president wants to encourage everybody to use surveillance."" This quote is not mentioned in the article, and it is not clear why it is included in the summary.
4. Lastly, the summary mentions that Bush is undergoing chemotherapy for cancer that began in his colon. While this information is mentioned in the article, it is not connected to the previous information or the main focus of the article.

Overall, the summary lacks a clear structure and flow of ideas. It jumps between different pieces of information without connecting them or providing a logical progression. Therefore, it is not coherent with the corresponding article.","The summary is not coherent with the corresponding article. It only includes a partial sentence and does not provide any information about the medical procedure, the reason for the colonoscopy, or the details of the acting presidency.","Step 1: The summary includes the information that the president's doctor recommended a repeat procedure in about five years. This is mentioned in the article. 
Step 2: The summary mentions that a colonoscopy is the most sensitive test for colon cancer, rectal cancer. This is also mentioned in the article. 
Step 3: The summary includes the statement ""the president wants to encourage everybody to use surveillance,"" which is mentioned in the article when White House spokesman Tony Snow said it. 

Based on these steps, the summary is coherent with the corresponding article. 

Answer: Yes.","Step 1: The summary mentions that Vice President Dick Cheney will serve as acting president briefly on Saturday. This information is coherent with the article.

Step 2: The summary states that President Bush is scheduled to have a routine colonoscopy at Camp David, Maryland. This information is also coherent with the article.

Step 3: The summary mentions that no abnormalities were found during Bush's last procedure in June 2002. This information is coherent with the article.

Step 4: The summary includes the information that White House spokesman Tony Snow is undergoing chemotherapy for colon cancer. This information is also coherent with the article.

Based on the above analysis, the summary is coherent with the corresponding article.","The summary is not coherent with the corresponding article. 

1. The article provides information about Vice President Dick Cheney serving as acting president while President Bush undergoes a colonoscopy, but the summary does not mention this important detail.
2. The summary states that Bush's last colonoscopy was in June 2002, but it does not mention that no abnormalities were found during that procedure, as mentioned in the article.
3. The summary mentions that a colonoscopy is the most sensitive test for colon cancer, rectal cancer, and polyps, but it does not provide any context or explanation for this statement, as provided in the article.
4. The summary is missing important details such as who will be supervising and conducting the procedure, as well as the fact that small polyps may be removed during the colonoscopy.
5. The summary does not mention the personal connection of White House spokesman Tony Snow, who is undergoing chemotherapy for colon cancer.

Therefore, the summary lacks a clear structure and flow of ideas, making it difficult to understand and follow."
"The summary is coherent with the corresponding article. 

1. The summary starts by mentioning that about 2,000 customers were left without power in the San Francisco area, which matches the information provided in the article.
2. It then mentions that the police received a spike in calls, mostly inquiries, with no reports of injuries or damage. This aligns with the statement made by Capt. Al Casciato of the San Francisco police in the article.
3. The summary states that the quake was centered about two miles east-northeast of Oakland, at a depth of 3.6 miles, which is consistent with the information provided by the USGS in the article.
4. Finally, the summary mentions that the shaking lasted about 50 seconds, as stated by CNN meteorologist Chad Myers according to the USGS.

Therefore, the summary has a clear structure and flow of ideas, making it easy to understand and follow. Yes.","The summary does not have a clear structure and flow of ideas. It is a collection of fragmented sentences that provide some information about the earthquake in San Francisco, but it lacks coherence.","Yes.

The summary provides a clear and concise overview of the main points of the article. It mentions the magnitude of the earthquake, the time it occurred, and the impact it had on the San Francisco area. It also includes information about the number of customers without power and the classification of the earthquake. The summary accurately captures the key details and flows logically from one point to another.","The summary is not coherent with the corresponding article. 

1. The summary includes information about the power outage caused by the earthquake, which is mentioned in the article.

2. The summary mentions that a magnitude 4.2 earthquake is considered ""light"" and usually causes minimal damage, which is mentioned in the article.

3. The summary mentions that quakes of this magnitude are felt indoors and may break dishes, windows, and overturn unstable objects, which is mentioned in the article.

However, the summary does not include any information about the location of the earthquake (San Francisco area), the time it occurred (4:42 a.m. PT), or the duration of the shaking (about 50 seconds). It also does not mention any quotes or statements from officials or witnesses, such as the police captain's description of the quake as ""fairly mild."" 

Therefore, the summary does not have a clear structure and flow of ideas, and it does not include all the important information from the article.","The summary is coherent with the corresponding article. 

Reasoning: 
1. The summary includes the information about 2,000 customers being without power, which is mentioned in the article.
2. The summary mentions the location of the quake, stating that it was centered about two miles east-northeast of Oakland, which is also mentioned in the article.
3. The summary mentions that Oakland is east of San Francisco, across San Francisco Bay, which is consistent with the information in the article.
4. The summary includes the information about the shaking lasting about 50 seconds, which is mentioned by CNN meteorologist Chad Myers in the article.

Therefore, the summary includes all the main points from the article and presents them in a clear and structured manner, making it easy to understand and follow. Hence, the answer is yes.","The summary is not coherent with the corresponding article. 
1. The summary starts with the statement about 2,000 customers without power, which is mentioned in the article.
2. The next sentence mentions the San Francisco police captain describing the earthquake as ""fairly mild,"" which is also mentioned in the article.
3. The last sentence mentions the location of the earthquake, which is also mentioned in the article.
However, the summary does not provide a clear structure and flow of ideas. It jumps from one piece of information to another without any logical connection. It does not provide a comprehensive overview of the article and leaves out important details such as the magnitude of the earthquake and the duration of the shaking."
"The summary is coherent with the corresponding article. 

Reasoning:
1. The summary includes the new information provided by Algeria's interior minister about the suspect escaping immediately after the bomb exploded.
2. The summary includes President Bouteflika's statement that terrorist acts have nothing in common with the noble values of Islam.
3. The summary mentions the location of the explosion as Batna, east of Algiers, which matches the information in the article.
4. The summary mentions the ongoing Islamic insurgency in Algeria, as stated by the CIA, which is also mentioned in the article.

Therefore, the summary covers the key points of the article and follows a clear structure, making it easy to understand and follow.","The summary does not seem to be coherent with the corresponding article. The summary includes fragmented sentences and lacks a clear structure and flow of ideas. Additionally, it does not provide a comprehensive overview of the article's content.","The summary is not coherent with the corresponding article. The summary only mentions that a bomb goes off 15 minutes before the expected arrival of Algeria's president and that at least 14 people were affected. It lacks the information about the location of the bombing (Batna, east of the capital of Algiers), the number of wounded people (60), and the mention of a suspect person who attempted to go beyond the security cordon. The summary also does not mention the ongoing Islamic insurgency in Algeria or the lack of immediate claim of responsibility for the bombing. Overall, the summary is missing important details and lacks a clear structure and flow of ideas.","The summary is somewhat coherent with the article. It includes the main information about the number of casualties and the timing of the bomb explosion. However, it lacks information about the location and context of the incident. Additionally, it does not mention the visit of President Bouteflika or the statement made by him. Therefore, the summary is not fully coherent with the article. No.","The summary is coherent with the corresponding article. 

Step 1: The summary starts with the new information that the suspect tried to go beyond the security cordon and Bouteflika's statement that terrorist acts have nothing in common with the noble values of Islam. This information is not explicitly mentioned in the article, but it is included in the summary to provide additional context.

Step 2: The summary then mentions that at least 14 people were killed and 60 others wounded in the attack in Batna, east of Algiers. This information is directly taken from the article.

Step 3: The summary concludes by stating that there is no immediate claim of responsibility for the bombing. This information is also directly taken from the article.

Overall, the summary follows a clear structure and flow of ideas, providing a concise overview of the main points discussed in the article. Therefore, it is coherent with the corresponding article. Yes.","The summary is coherent with the corresponding article. It includes the main points of the article, such as the timing of the bomb explosion before President Bouteflika's arrival, the uncertainty about the cause of the bomb, and the mention of Algeria facing a continuing Islamic insurgency. The summary has a clear structure and flow of ideas, making it easy to understand and follow."
"No, the summary is not coherent with the article. 

1. The summary mentions Beckham joining the Los Angeles Galaxy, but it does not mention his move to U.S. Major League Soccer, which is the main topic of the article.
2. The summary mentions Beckham joining the Galacticos of Madrid, but this is not mentioned in the article.
3. The summary mentions Beckham meeting the press and revealing his new shirt number, but this is not mentioned in the article.
4. The summary briefly mentions Beckham fulfilling his dream of playing for Manchester United, but it does not mention his time playing for England or any other details about his career.

Overall, the summary is missing important information and does not follow the structure and flow of ideas in the article.","The summary is not coherent with the corresponding article. 

1. The summary mentions that CNN looks at what makes Beckham tick as a footballer, fashion icon, and global phenomenon, but this is not mentioned in the article.
2. The summary mentions Beckham's rise to football stardom, but it does not mention any details or examples of this journey, which is discussed in the article.
3. The summary mentions Beckham teaming up with Reggie Bush in an Adidas commercial and being the face of Motorola, but these details are not mentioned in the article.","The summary is not coherent with the corresponding article. The summary only provides a brief mention of David Beckham signing a five-year contract with the Los Angeles Galaxy, but it does not include any information about his rise to football stardom, his time playing for Manchester United and England, or his transition to life in Los Angeles. It also does not mention anything about Beckham's celebrity status, fashion icon status, or his impact on U.S. soccer. Therefore, the summary lacks a clear structure and flow of ideas, making it difficult to understand and follow.","No.

Reasoning:
- The summary mentions that David Beckham has begun a five-year contract with the Los Angeles Galaxy team, which is mentioned in the article.
- The summary also mentions that this week, there will be an in-depth look at the life and times of Beckham, which is mentioned in the article.
- However, the summary does not mention anything about Beckham fulfilling his dream of playing for Manchester United, his time playing for England, or his marriage to pop star Victoria, which are all mentioned in the article.
- The summary also does not mention anything about Beckham's rise to football stardom, his skills gracing the greatest stages in world soccer, or his adaptation to life in Los Angeles, which are also mentioned in the article.","The summary is not coherent with the article. 

1. The summary mentions Beckham's contract with the Los Angeles Galaxy but does not mention his goal of playing for Manchester United or his time playing for England, which are mentioned in the article.
2. The summary mentions Becky Anderson charting Beckham's rise to stardom, but does not mention her examination of Beckham's life as a footballer, fashion icon, and global phenomenon, as stated in the article.
3. The summary mentions a rare glimpse inside the David Beckham academy in L.A., but does not mention the exploration of Beckham's marriage to Victoria, his highs and lows in his career, or his adaptation to life in Los Angeles, which are all mentioned in the article.
4. The summary does not mention the discussion of overseas stars' impact on U.S. soccer or the changing perception of soccer in the U.S., which are also mentioned in the article.","The summary is coherent with the article. 

Reasoning:
1. The summary mentions that CNN's Becky Anderson looks at the life and times of David Beckham, which aligns with the article's statement that Becky Anderson sets out to examine what makes the man tick.
2. The summary mentions that Beckham has begun a five-year contract with the Galaxy, which aligns with the article's statement that Beckham has started playing for the Los Angeles Galaxy team.
3. The summary mentions that Anderson asks how Beckham and his family will adapt to life in Los Angeles, which aligns with the article's statement that Beckham's move to Los Angeles and his adaptation to life there will be explored.
4. The summary does not mention specific details like Beckham's career with Manchester United, his marriage to Victoria, or his endorsements, but these are not necessary for a coherent summary as they are not directly mentioned in the article."
"The summary is coherent with the article. It includes the main points of the article, such as the long lines forming at Northern Rock, customers withdrawing money, and the drop in shares. It follows a clear structure and flow of ideas, making it easy to understand. Yes.","The summary is coherent with the corresponding article. 

1. The summary begins by mentioning that the lender was bailed out by the Bank of England after slashing profit forecasts. This aligns with the main idea of the article.
2. The summary then states that customers have withdrawn about £1 billion since the bank's troubles were revealed. This information is consistent with the article.
3. Finally, the summary mentions that shares in Northern Rock dropped up to 30 percent in Friday trading. This detail is also mentioned in the article.

Overall, the summary captures the key points of the article and presents them in a logical and concise manner. Therefore, the answer is yes.","No, the summary is not coherent with the article. The summary only mentions that savers at a leading UK mortgage bank lined up to empty their accounts for a second day, and then abruptly ends with ""Northern Rock."" It does not provide any context or explanation for why savers are lining up to empty their accounts or any information about the bank's financial troubles, which are discussed in the article.","Step 1: The article mentions that a leading UK mortgage bank was bailed out by the Bank of England after heavily slashing profit forecasts. 
Step 2: The article also mentions that fearful customers lined up to empty their accounts at this bank, despite reassurances from the bank and the government. 
Step 3: The summary includes these key points: the bank of England bailed out the bank, customers lined up to withdraw cash, and fears customers ignored reassurances. 
Step 4: The summary maintains a clear structure and flow of ideas, making it easy to understand and follow. 

Yes, the summary is coherent with the corresponding article.","The summary provided is coherent with the corresponding article. It includes the key points from the article, such as savers lining up to empty their accounts, Northern Rock being bailed out by the Bank of England, the drop in shares, and the British Bankers' Association urging customers to calm down. The summary follows a logical structure and flow of ideas, making it easy to understand and follow. Therefore, the answer is yes.","The summary is coherent with the corresponding article. 

1. The summary mentions that savers at a leading UK mortgage bank lined up to empty their accounts for a second day, which matches the information in the article about customers withdrawing cash from Northern Rock.
2. The summary states that Northern Rock was bailed out by the Bank of England after slashing profit forecasts, which aligns with the article's mention of the bank being bailed out and the reason behind it.
3. The summary includes the statement from the British Bankers' Association urging customers to ""calm down,"" which is also mentioned in the article.

Therefore, the summary is coherent and follows the structure and flow of ideas presented in the article. Yes."
