sshleifer/distilbart-cnn-12-6,mrm8488/bert-small2bert-small-finetuned-cnn_daily_mail-summarization,microsoft/prophetnet-large-uncased-cnndm,t5-small,facebook/bart-large-cnn,google/pegasus-cnn_dailymail
"Yes

Reasoning: The summary includes the main points of the article, such as Daniel Radcliffe turning 18 and gaining access to his fortune, his plans to not spend it extravagantly, and the mention of his earnings being held in a trust fund. The sentences are clear and easily understandable to the target audience.","Yes

Reasoning:
- The summary includes information about Daniel Radcliffe's plans to not spend his money on extravagant things.
- It mentions that his earnings from the first five Potter films have been held in a trust fund.
- It states that he will reprise the role in the last two films.
- It mentions the film ""Harry Potter and the Order of the Phoenix"" without providing any additional information.","Yes

Reasoning: The summary accurately captures the main point of the article, which is that Daniel Radcliffe will gain access to a reported £20 million fortune as he turns 18. The sentence is clear and easily understandable.","Step 1: Identify the main points in the summary:
- The actor has no plans to spend his money on fast cars, drink, and celebrity parties.
- He will be able to gamble, buy a drink, and watch a horror film.
- His agent and publicist have no comment on his plans.
- His latest movie is breaking records.

Step 2: Compare the main points to the article:
- The first point is mentioned in the article when the actor says he won't be extravagant.
- The second point is mentioned in the article when it states he can now gamble, buy a drink, and watch a horror film.
- The third point is mentioned in the article when it says his agent and publicist had no comment on his plans.
- The fourth point is mentioned in the article when it says his latest movie is breaking records.

Step 3: Assess the readability of the summary:
The summary accurately captures the main points of the article and presents them in a clear and understandable manner. It is readable.

Answer: Yes.","Step 1: The summary includes the main points of the article, such as Daniel Radcliffe turning 18 and gaining access to his fortune from the Harry Potter films. The mention of the trust fund is also included.

Step 2: The sentences in the summary are clear and easily understandable to the target audience. They use simple language and do not contain any complex or confusing terms.

Step 3: Yes. The summary is readable with the corresponding article. It includes the main points in a clear and understandable manner.","Yes.

Reasoning:
- The summary includes the main points of the article, such as Daniel Radcliffe gaining access to a £20 million fortune and his statement about not wasting his money.
- The sentences in the summary are clear and easily understandable to the target audience."
"Yes, the summary is readable with the corresponding article. The summary includes the main points of the article, such as the removal of polyps from President Bush's colon, the size of the polyps, the previous colonoscopy results, and the president's current condition. The sentences are clear and easily understandable to the target audience.","The summary is not readable with the article. 

Reasoning:
1. The summary starts with ""new"" which is not a clear and understandable sentence.
2. The summary mentions that Bush's last colonoscopy was in June 2002, but this information is not mentioned in the article.
3. The summary mentions that Vice President Dick Cheney assumed presidential power at 9:21 a.m. on Saturday, but this information is not mentioned in the article.
4. The summary mentions that Bush is in good humor and will resume his activities at Camp David, which is mentioned in the article.
5. The summary mentions that President's first lady Laura Bush was celebrating her mother's birthday, but this information is not mentioned in the article.","Yes

The summary accurately captures the main points of the article. It mentions that five small polyps were removed from President Bush's colon and states that none of them appeared worrisome. The summary is clear and easily understandable to the target audience.","Step 1: The summary includes the information that ""none appeared worrisome"" according to a White House spokesman. This information is clearly stated in the article.

Step 2: The summary mentions that the president will resume his activities at Camp David. This information is also stated in the article.

Step 3: The summary states that a colonoscopy is the most sensitive test for colon cancer and rectal cancer. This information is not explicitly stated in the article, but it is mentioned that a colonoscopy is the most sensitive test for polyps, which can become cancerous. While not an exact match, this information is related to the topic of colon cancer and can be considered understandable to the target audience.

Based on the above analysis, the summary is readable with the corresponding article.","Step 1: The summary accurately states that doctors removed five small polyps from President Bush's colon. This information is clearly stated in the article.

Step 2: The summary correctly mentions that all the polyps were small and less than a centimeter in diameter. This information is also clearly stated in the article.

Step 3: The summary accurately states that Bush reclaimed presidential power at 9:21 a.m. after about two hours. This information is mentioned in the article.

Step 4: The summary correctly mentions that Vice President Dick Cheney assumed presidential power during the procedure. This information is stated in the article.

Based on the step-by-step analysis, the summary accurately represents the main points of the article and is readable to the target audience. 

Answer: Yes","The summary accurately conveys the main points of the article. It mentions that five small polyps were removed from President Bush's colon and that they were not worrisome. It also states that Bush had polyps removed during colonoscopies before becoming president. The summary does not include any unnecessary or confusing information, and the sentences are clear and easily understandable. Therefore, the summary is readable with the corresponding article. Yes."
"Yes

Reasoning:
- The summary includes the key details mentioned in the article, such as the fugitive status of Tomas Medina Caracas, his affiliation with FARC, and the location of the camp where he was tracked down.
- The summary uses clear and concise language that is easily understandable to the target audience.","The summary is readable with the corresponding article. 

Reasoning:
- The summary accurately mentions that Tomas Medina Caracas was a key rebel commander and fugitive from a U.S. drug trafficking indictment, which is mentioned in the article.
- The summary correctly states that Medina Caracas was indicted in the United States along with two other FARC commanders in November 2002, which is also mentioned in the article.
- The summary accurately mentions that Medina Caracas commanded FARC's 16th Front in the southern departments of Vichada and Guainia, which is mentioned in the article.
- The summary correctly states that Medina Caracas is accused of conspiring to kidnap oil workers from Venezuela in 1997, which is mentioned in the article.","No, the summary is not readable with the corresponding article. The summary is incomplete and does not provide clear information about the key points of the article, such as the death of the rebel commander and his involvement in drug trafficking. It lacks proper sentence structure and does not convey the main details in a clear and understandable manner.","The summary is readable with the corresponding article.

Reasoning: 
- The summary accurately states that ""El Negro Acacio"" was a member of the high command of the guerrilla encampment, which is mentioned in the article as him being a key rebel commander.
- The summary also mentions that he was charged with conspiracy to import cocaine into the United States, which is mentioned in the article as him being charged by the U.S. Justice Department.
- Lastly, the summary includes that he helped manage the group's cocaine trafficking network, which is mentioned in the article as him managing the rebel group's sales of cocaine to international drug traffickers.

Therefore, the summary accurately represents the main points of the article in a clear and understandable manner.","Yes

Reasoning:
- The summary accurately captures the main points of the article.
- It uses simple language and avoids technical terms.
- The sentence structure is clear and easy to understand.","Yes

Reasoning:
- The summary provides a clear and concise overview of the article.
- It includes the key information about Tomas Medina Caracas being a fugitive, being killed in an air attack on a guerrilla encampment, and being alleged to have managed the FARC's cocaine trafficking network.
- The sentences are clear and easily understandable to the target audience."
"Yes

Reasoning:
- The summary provides a clear and concise overview of the main points covered in the article.
- It includes information about the discovery of the rocket launcher tube, the fact that it is no longer operable and not a hazard, and the uncertainty about whether it has been fired.
- The language used in the summary is simple and does not contain any complex or technical terms that might confuse the target audience.","The summary is not readable with the corresponding article. 

1. The summary incorrectly states that Niranjan Desai is 20 years old, when the article does not mention her age.
2. The summary incorrectly states that the launcher has been turned over to the U.S. Army officials at the 754th Ordnance Disposal Unit at Fort Monmouth, when the article states that it has been turned over to the 754th Ordnance Company, an explosive ordnance disposal unit.
3. The summary fails to mention that the launcher is no longer operable and not considered to be a hazard to public safety, as stated in the article.
4. The summary incorrectly states that the nearest military base, Fort Dix, is at least 70 miles from Jersey City, when the article states that it is more than 70 miles away.
5. The summary fails to mention that the Joint Terrorism Task Force division of the FBI and Jersey City police are investigating the origin of the rocket launcher and the circumstances that led to its appearance on residential property.
6. The summary does not provide any information about the appearance or features of the rocket launcher, which are mentioned in the article.","Yes, the summary is readable with the corresponding article. The summary provides a clear and concise overview of the article, stating that an empty AT4 anti-tank rocket launcher tube was found on the front lawn of a home in New Jersey.","The summary is readable with the corresponding article. 

Reasoning:
1. The summary mentions the main point of the article, which is the discovery of a 20-year-old AT4 anti-tank rocket launcher tube on someone's lawn.
2. It also includes the information that the device has been turned over to an explosive disposal unit.
3. Lastly, it states that there is no indication that the launcher had been fired recently. 

All of these points are clear and easily understandable to the target audience.","Yes

Reasoning:
- The summary accurately captures the main points of the article, including the discovery of a rocket launcher tube on a front lawn in Jersey City, New Jersey.
- The summary mentions that the rocket launcher tube is a one-time-use device and clarifies that it is no longer operable and not a hazard to public safety, which are details mentioned in the article.
- The language used in the summary is clear and easily understandable to the target audience.","Step 1: The summary mentions that the launcher has been turned over to U.S. Army officials at Fort Monmouth, New Jersey. This information is mentioned in the article. 

Step 2: The summary states that the 20-year-old AT4 anti-tank rocket launcher tube was found on a New Jersey woman's lawn. This information is mentioned in the article.

Step 3: The summary mentions that the launcher ""is no longer operable and not considered to be a hazard,"" according to the police. This information is mentioned in the article.

Step 4: The summary states that the device is basically a shoulder-fired, direct-fire weapon used against ground targets. This information is mentioned in the article.

Conclusion: The summary accurately and clearly represents the main points of the article. The sentences used in the summary are clear and easily understandable to the target audience.

Answer: Yes"
"Yes, the summary is readable with the corresponding article. 

Reasoning:
1. The summary includes the main point of the article, which is that Carlos Alberto has joined Werder Bremen for a club record fee.
2. It also mentions his previous success at FC Porto under Jose Mourinho and his goal in the Champions League final victory against Monaco in 2004.
3. The summary adds that Carlos Alberto has been on loan with his first club Fluminense since January this year.","The summary is not readable with the corresponding article. 

Reasoning:
1. The summary mentions that Carlos Alberto joined Werder Bremen for a record fee, which is mentioned in the article.
2. The summary mentions that Carlos Alberto scored in FC Porto's Champions League final victory against Monaco in 2004, which is mentioned in the article.
3. The summary mentions that the Brazilian scored in the Champions League last year, which is not mentioned in the article.","Yes.

Reasoning:
- The summary accurately states that Brazilian defender Carlos Alberto has signed for Bundesliga club Werder Bremen.
- The summary includes the important detail that Carlos Alberto is 22 years old.
- The summary does not include any additional information or details that are not mentioned in the article.","Yes.

Reasoning:
- The summary provides a clear and concise overview of the main points in the article.
- It mentions that Carlos Alberto has joined Werder Bremen for a club record fee, specifying the amount in euros and dollars.
- It highlights his previous success in scoring in FC Porto's Champions League final victory in 2004.
- It mentions his career starting with Fluminense and their success in winning the Campeonato Carioca in 2002.","Yes.

Reasoning:
- The summary accurately states that Carlos Alberto has joined Werder Bremen for a club record fee of $10.7 million, which is mentioned in the article.
- The summary mentions that Carlos Alberto scored in FC Porto's Champions League final victory in 2004, which is also mentioned in the article.
- The summary correctly states that Carlos Alberto is the third top Brazilian player to join the German league in three days, which is mentioned in the article.
- The sentences in the summary are clear and easily understandable to the target audience.","Yes, the summary is readable with the corresponding article. 

Step 1: The summary accurately states that Brazilian striker Carlos Alberto has joined Werder Bremen from FC Porto. This is mentioned in the article as well.

Step 2: The summary correctly mentions that Carlos Alberto joins for a club record fee of $10.7 million. This is also mentioned in the article.

Step 3: The summary states that Carlos Alberto has been on loan at Fluminense since January. This information is present in the article as well.

Overall, the summary captures the main points of the article in a clear and easily understandable manner."
"Step 1: Vice President Dick Cheney will serve as acting president briefly Saturday.
The sentence is clear and easily understandable. It states that Vice President Dick Cheney will temporarily take on the role of president on Saturday. 

Step 2: White House spokesman Tony Snow is undergoing chemotherapy for colon cancer.
The sentence is clear and easily understandable. It states that Tony Snow, the White House spokesman, is currently undergoing chemotherapy for colon cancer. 

Step 3: Bush's last colonoscopy was in June 2002, and no abnormalities were found, White House says.
The sentence is clear and easily understandable. It states that President Bush had a colonoscopy in June 2002, and no abnormalities were found, according to the White House. 

Step 4: Procedure is the most sensitive test for colorectal cancer, rectal cancer and polyps.
The sentence is clear and easily understandable. It states that the procedure mentioned (colonoscopy) is considered the most sensitive test for detecting colorectal cancer, rectal cancer, and polyps. 

Conclusion: The summary is readable with the corresponding article. Yes","Reasoning:

1. The summary includes the main points of the article, such as Vice President Dick Cheney serving as acting president while President Bush undergoes a colonoscopy, the expected duration of the procedure, and the fact that no abnormalities were found in Bush's previous colonoscopy in 2002.
2. The summary also mentions that Bush is undergoing chemotherapy for cancer that began in his colon, which is not explicitly stated in the article but can be inferred from the sentence ""Snow himself is undergoing chemotherapy for cancer that began in his colon and spread to his liver.""
3. However, the summary does not mention that the colonoscopy will be conducted by a multidisciplinary team from the National Naval Medical Center or the recommendation from the American Cancer Society regarding colorectal cancer screenings.

Based on these reasons, the summary is not fully readable with the corresponding article.","The summary sentence is incomplete and does not provide enough information for the target audience to understand what is happening. It mentions Vice President Dick Cheney serving as acting president while President Bush has a colonoscopy, but it does not explain why or provide any additional details. Additionally, the sentence ends abruptly with a punctuation mark. 

No","Step 1: The summary includes the key information from the article, such as the recommendation for a repeat colonoscopy and the importance of surveillance for colon cancer.
Step 2: The sentences in the summary are clear and easily understandable.
Step 3: The summary does not include any technical or complex language that may confuse the target audience.
Step 4: The summary is concise and captures the main points of the article.

Based on these steps, the answer is yes, the summary is readable with the corresponding article.","1. The summary accurately mentions that Vice President Dick Cheney will serve as acting president briefly on Saturday. This information is clearly stated in the article.
2. The summary states that President Bush is scheduled to have a routine colonoscopy at Camp David, Maryland. This information is also clearly stated in the article.
3. The summary mentions that no abnormalities were found during Bush's last procedure in June 2002. This information is stated in the article, indicating that the summary is accurate.
4. The summary states that White House spokesman Tony Snow is undergoing chemotherapy for colon cancer. This information is not mentioned in the article, so the summary includes additional information that is not present in the source.

Based on the above reasoning, the answer is no.","Reasoning:

1. The summary states that President Bush will have a routine colonoscopy on Saturday. This information is mentioned in the article.

2. The summary mentions that Vice President Dick Cheney will serve as acting president. This information is also mentioned in the article.

3. The summary states that Bush's last colonoscopy was in June 2002. This information is mentioned in the article.

4. The summary mentions that a colonoscopy is the most sensitive test for colon cancer, rectal cancer, and polyps. This information is also mentioned in the article.

Based on the above reasoning, the summary is readable with the corresponding article as it includes accurate and easily understandable information from the article. 

Answer: Yes"
"Step 1: Compare the summary sentence to the corresponding information in the article.
- The first sentence of the summary mentions that about 2,000 customers were without power in the San Francisco area. This information is mentioned in the article: ""The quake left about 2,000 customers without power.""
- The second sentence of the summary mentions that the police received a spike in calls, mostly of inquiry, with no injuries or damage reported. This information is also mentioned in the article: ""We had quite a spike in calls, mostly calls of inquiry, none of any injury, none of any damage that was reported,"" said Capt. Al Casciato of the San Francisco police.
- The third sentence of the summary mentions the location and depth of the earthquake, which is also mentioned in the article: ""The quake was centered about two miles east-northeast of Oakland, at a depth of 3.6 miles.""
- The fourth sentence of the summary mentions that the shaking lasted about 50 seconds, which is mentioned in the article: ""The shaking lasted about 50 seconds, said CNN meteorologist Chad Myers.""

Step 2: Evaluate the clarity and understandability of the summary sentence.
- The summary sentence is clear and easily understandable. It accurately conveys the main points of the article in a concise manner.

Based on the above analysis, the summary is readable with the corresponding article. Yes.","Step 1: Identify the main points in the article:
- Magnitude 4.2 earthquake in San Francisco
- 2,000 customers without power
- Quake centered two miles east-northeast of Oakland, at a depth of 3.6 miles

Step 2: Compare the main points in the article with the summary:
- The summary includes the main points of the article, but the language used is fragmented and lacks clarity. The sentence structure is not well-formed, and some words are missing or incorrectly used.

Step 3: Consider the target audience and their ability to understand the summary:
- The target audience may have a basic understanding of earthquakes and their effects, but they may not be familiar with technical terms or specific locations such as Oakland. The summary should be clear and easily understandable to this audience.

Based on the above analysis, the summary is not readable with the corresponding article as it does not effectively communicate the main points in a clear and understandable manner.","The summary is readable with the corresponding article. 

Reasoning:
- The summary accurately mentions the key details of the article, including the magnitude 4.2 earthquake in the San Francisco area at 4:42 a.m. PT.
- The sentence structure is clear and the language used is simple and easily understandable.
- The summary does not include any additional information or use complicated terms, making it accessible to the target audience.","Step 1: Analyze the summary sentence by sentence.
- ""quake left about 2,000 customers without power, spokesman says"" - This sentence is clear and easily understandable. It provides information about the effects of the earthquake.
- ""magnitude 4.2 is considered ""light,"" which usually causes minimal damage"" - This sentence is clear and easily understandable. It explains the classification of the earthquake and its potential impact.
- ""quakes are felt indoors and may break dishes, windows and overturn unstable objects"" - This sentence is clear and easily understandable. It describes the potential effects of a magnitude 4.2 earthquake.

Step 2: Consider the target audience.
The target audience is not specified, but assuming it is the general public, the sentences in the summary are written in a clear and easily understandable manner.

Conclusion: Yes, the summary is readable with the corresponding article.","Step 1: Comparing the summary to the article, it includes the information about 2,000 customers without power, the location of the quake, and the duration of the shaking. 
Step 2: The sentence structure and vocabulary used in the summary are clear and easily understandable to the target audience.
Step 3: Yes, the summary is readable with the corresponding article.","Step by step reasoning:
1. The summary mentions that about 2,000 customers were without power, which is mentioned in the article as well.
2. The summary includes a quote from a San Francisco police captain saying ""It was fairly mild,"" which is also mentioned in the article.
3. The summary mentions the location of the quake as two miles east-northeast of Oakland at a depth of 3.6 miles, which is also mentioned in the article.

Based on this reasoning, the summary accurately captures the main points from the article and is readable to the target audience.

Answer: Yes"
"Step 1: The article provides information about a bomb explosion in Batna, Algeria, where 14 people were killed and 60 others were wounded.
- The summary includes the information about the explosion occurring in Batna, Algeria, and the number of casualties. (Yes)

Step 2: The article mentions that the explosion occurred 20 meters from a mosque in Batna.
- The summary includes the information about the explosion occurring near a mosque in Batna. (Yes)

Step 3: The article states that it was unclear if the bomb was caused by a suicide bomber or if it was planted.
- The summary does not include this information. (No)

Step 4: The article mentions that a suspect person attempted to go beyond the security cordon but escaped immediately after the bomb exploded.
- The summary includes this information about the suspect escaping after the explosion. (Yes)

Step 5: The article states that President Bouteflika visited the wounded in the hospital before returning to the capital.
- The summary does not include this information. (No)

Step 6: The article mentions that Algeria faces a continuing Islamic insurgency, according to the CIA.
- The summary includes this information about Algeria facing an Islamic insurgency. (Yes)

Based on the above analysis, the summary is missing some information from the article but still provides a clear and easily understandable overview of the main points. Therefore, the summary is readable with the corresponding article.","Step 1: The summary includes the statement made by Algeria's Interior Minister Noureddine Yazid Zerhouni. 
Yes, this statement is mentioned in the article.

Step 2: The summary mentions that the bomb went off 15 minutes before the expected arrival of President Abdel-Aziz Bouteflika.
Yes, this information is mentioned in the article.

Step 3: The summary states that Algeria faces a continuing Islamic insurgency, according to the CIA.
Yes, this information is mentioned in the article.

Step 4: The summary repeats that Algeria is facing a continued Islamic insurgency.
Yes, this is a repetition of the previous point mentioned in the summary.

The summary is readable with the corresponding article.","Step 1: Analyzing the sentence structure
The sentence structure of the summary is clear and concise. It provides a brief and straightforward statement about the bomb explosion that occurred before the arrival of Algeria's president. 

Step 2: Analyzing the vocabulary
The vocabulary used in the summary is simple and easily understandable. It does not contain any jargon or complex terms that may confuse the target audience.

Step 3: Comparing the summary to the article
The summary accurately reflects the main event described in the article - a bomb explosion that happened 15 minutes before the expected arrival of Algeria's president. It also mentions the number of casualties (at least 14 people) which is mentioned in the article.

Conclusion:
The summary is readable with the corresponding article. It effectively captures the main event and is clear and easily understandable to the target audience.","Yes

Reasoning:
- The summary includes the key information from the article, such as the number of people killed and wounded, the timing of the bomb explosion, and the uncertainty about whether it was caused by a suicide bomber.
- The sentences are clear and concise, making them easily understandable to the target audience.","Step 1: The summary includes the key information from the article, such as the number of casualties and the location of the attack.

Step 2: The summary uses clear and concise language to convey the information.

Step 3: The summary does not include any complex or technical terms that may be difficult for the target audience to understand.

Based on these steps, the summary is readable with the corresponding article. Answer: Yes.","Yes

Reasoning:
- The summary includes key information from the article, such as the timing of the bomb explosion and the uncertainty of whether it was caused by a suicide bomber or if it was planted.
- The mention of Algeria facing a continuing Islamic insurgency, according to the CIA, provides additional context to the situation.
- The sentences in the summary are concise and straightforward, making it easily understandable for the target audience."
"The summary is readable with the corresponding article. 

Reasoning:
- The summary accurately mentions that David Beckham has started a five-year contract with the Los Angeles Galaxy team, which is mentioned in the article.
- The summary also mentions that Beckham joined the Galacticos of Madrid, which is mentioned in the article.
- The summary states that Beckham will reveal his new shirt number on Friday, which is mentioned in the article.
- The summary mentions that CNN will look back at Beckham's life and his fulfillment of playing for Manchester United, which is mentioned in the article.

Therefore, the summary includes key points from the article and is clear and easily understandable to the target audience.","The summary is readable with the corresponding article. The sentences used in the summary are clear and easily understandable to the target audience. They capture key points from the article such as Beckham's rise to football stardom, his role as a fashion icon and global phenomenon, and his partnerships with Reggie Bush and Motorola.","Yes, the summary is readable with the corresponding article. The summary accurately conveys that David Beckham has signed a five-year contract with the Los Angeles Galaxy. It is clear and easily understandable to the target audience.","Yes.

Reasoning:
The summary accurately captures the main points of the article, including Beckham's new contract with the Los Angeles Galaxy team and the exploration of his life and career. The language used in the summary is clear and easily understandable to the target audience.","Yes

Reasoning:
The summary accurately captures the main points of the article. It mentions that David Beckham has started a five-year contract with the Los Angeles Galaxy, and that CNN's Becky Anderson explores Beckham's rise to football stardom. It also mentions that the article looks back at Beckham's life and includes a rare glimpse inside the David Beckham academy in L.A. The sentences are clear and easily understandable to the target audience.","Yes

Reasoning:
The summary accurately captures the main points of the article. It mentions that Becky Anderson from CNN is examining the life and times of David Beckham, his new contract with the Galaxy, and how he and his family will adapt to life in Los Angeles. These points are clear and easily understandable to the target audience."
"Yes

Reasoning:
- The summary accurately captures the main points of the article.
- The sentences are clear and easily understandable to the target audience.
- The summary provides a concise overview of the events described in the article.","Yes

Reasoning:
- The summary provides a clear and concise overview of the main points mentioned in the article.
- The language used in the summary is simple and easily understandable.
- The summary accurately reflects the information provided in the article.","The summary is not readable with the corresponding article. The summary is too brief and lacks specific information, making it difficult to understand for the target audience. It does not provide any context or details about the situation at Northern Rock or the reasons for customers emptying their accounts.","Yes.

Reasoning:

1. The summary includes the key information from the article, such as the Bank of England bailing out the mortgage bank and the customers lining up to withdraw cash.
2. The summary also mentions that the mortgage bank heavily slashed profit forecasts, which is an important detail from the article.
3. The summary mentions that customers ignored reassurances from the bank and the government, which is another important point from the article.
4. The sentences in the summary are clear and easily understandable to the target audience.","Step 1: The summary states that savers at a leading UK mortgage bank are lining up to empty their accounts for a second day. This aligns with the information in the article that says long lines formed before counters opened at Northern Rock.

Step 2: The summary mentions that Northern Rock was bailed out by the Bank of England after slashing profit forecasts. This is also mentioned in the article, which states that the bank was bailed out by the Bank of England after heavily slashing profit forecasts.

Step 3: The summary states that shares in Northern Rock dropped up to 30 percent in Friday trading. This is confirmed in the article, which mentions that shares in Northern Rock dropped up to 30 percent in Friday trading.

Step 4: The summary mentions that the British Bankers' Association has urged customers to ""calm down."" This is also mentioned in the article, which states that the British Bankers' Association has urged customers to ""calm down.""

Based on this analysis, the summary is readable with the corresponding article.","The summary is readable with the corresponding article. 

1. The first sentence of the summary accurately captures the main action of savers lining up to empty their accounts at a UK mortgage bank.
2. The second sentence mentions that the bank was bailed out by the Bank of England after slashing profit forecasts, which is also stated in the article.
3. The third sentence mentions the British Bankers' Association urging customers to ""calm down,"" which is also mentioned in the article.

Therefore, the summary is clear and easily understandable for the target audience. Yes."
