sshleifer/distilbart-cnn-12-6,mrm8488/bert-small2bert-small-finetuned-cnn_daily_mail-summarization,microsoft/prophetnet-large-uncased-cnndm,t5-small,facebook/bart-large-cnn,google/pegasus-cnn_dailymail
0.8,0.8,0.5,"1. The young actor says he has no plans to fritter his cash away on fast cars, drink, and celebrity parties.
2. He will be able to gamble in a casino, buy a drink or see the horror film ""Hostel: Part II.""
3. His agent and publicist had no comment on his plans.
4. His latest outing as the boy wizard is breaking records on both sides of the Atlantic.

Score: 0.75",0.5,"1. Harry Potter star Daniel Radcliffe gains access to a reported £20 million fortune.
2. Young actor says he has no plans to fritter his cash away.
3. Radcliffe's earnings from the first five Potter films have been held in a trust fund.

Score: 1"
0.8,0.6,0.9,"1. ""None appeared worrisome,"" a White House spokesman says. (0.8)
2. President will resume his activities at Camp David. (1)
3. A colonoscopy is the most sensitive test for colon cancer, rectal cancer. (1)",0.6,0.5
0.8,"- tomas medina caracas was a key rebel commander and fugitive from a u. s. drug trafficking indictment. (1)
- he was indicted in the united states along with two other farc commanders in november 2002. (1)
- medina caracas commanded farc's 16th front in the southern departments of vichada and guainia. (1)
- he is accused of conspiring to kidnap oil workers from venezuela in 1997. (1)

The summary does not repeat any information from the article and accurately captures the key points. Therefore, the score for non-redundancy is 1.",0.8,0.8,0.8,0.92
0.9,0.8,0.3,0.8,"Summary Score: 0.8333333333333334

Explanation: 
- The summary includes the main information from the article without repetition.
- It mentions the discovery of the rocket launcher tube on the front lawn of a home in Jersey City, New Jersey.
- It specifies that the rocket launcher tube is a 20-year-old AT4 anti-tank rocket launcher tube, which is a one-time-use device.
- It states that the launcher is no longer operable and not considered a hazard to public safety, according to the police.","1. NEW: Launcher turned over to U.S. Army officials at Fort Monmouth, New Jersey (repetitive)
2. The 20-year-old AT4 anti-tank rocket launcher tube was found on a New Jersey woman's lawn 
3. The launcher ""is no longer operable and not considered to be a hazard,"" police say 
4. The device is basically a shoulder-fired, direct-fire weapon used against ground targets (repetitive)

Score: 0.5"
"- Carlos Alberto joins Werder Bremen for a club record fee of 7.8 million euros ($10.7 million)
- Carlos Alberto enjoyed success at FC Porto under Jose Mourinho
- The 22-year-old scored in the Champions League final victory against Monaco in 2004
- Since January this year he has been on loan with his first club Fluminense

Score: 0.75","1. Carlos Alberto has joined Werder Bremen for a club record fee of 7.8 million euros.
2. Carlos Alberto scored in FC Porto's Champions League final victory against Monaco in 2004.
3. Carlos Alberto is 22 years old.
4. Carlos Alberto expressed his desire to win titles with Werder Bremen.
5. Carlos Alberto started his career with Fluminense and helped them win the Campeonato Carioca in 2002.
6. Carlos Alberto moved to FC Porto in January 2004 and won the Portuguese title and the Champions League with the club.
7. Carlos Alberto moved to Corinthians in 2005 and had a successful season, but had a poor relationship with manager Emerson Leão.
8. Carlos Alberto declared that he would not play for Corinthians again while Leão remained as manager.
9. Carlos Alberto has been on loan with Fluminense since January of this year.
10. Bundesliga champions VfB Stuttgart signed a loan agreement with Real Zaragoza for Ewerthon.
11. Ewerthon is the third top Brazilian player to join the German league in three days.
12. Ewerthon previously played in the Bundesliga for Borussia Dortmund from 2001 to 2005.
13. Ailton, the league's top scorer in 2004, signed a one-year deal with Duisburg on a transfer from Red Star Belgrade.

Summary score: 0.7692","1. Score: 0.5 - The summary mentions that Carlos Alberto signed for Werder Bremen, but it does not mention the club record fee or the specific amount.
2. Score: 0.5 - The summary mentions Carlos Alberto's age, but it does not mention his previous success at FC Porto or his desire to win titles with Werder Bremen.
3. Score: 0 - The summary does not mention Carlos Alberto's career with Fluminense or his involvement in winning the Campeonato Carioca.
4. Score: 0 - The summary does not mention Carlos Alberto's time at Corinthians or his poor relationship with manager Emerson Leão.
5. Score: 0 - The summary does not mention Carlos Alberto's loan with Fluminense.
6. Score: 0 - The summary does not mention any other Brazilian players joining the German league.
7. Score: 0 - The summary does not mention any other player signings or transfers.",Score: 0.6,"1. Carlos Alberto has joined Werder Bremen for a club record fee of $10.7 million.
2. The 22-year-old scored in FC Porto's Champions League final victory in 2004.
3. He is the third top Brazilian player to join the German league in three days.

Score: 1","1. Brazilian striker Carlos Alberto joins Werder Bremen from FC Porto. - This sentence is mentioned in the article.
2. The 22-year-old joins for a club record $10.7 million. - This sentence is mentioned in the article.
3. He has been on loan at Fluminense since January. - This sentence is mentioned in the article.

Based on the given article, the summary scores a 1 for non-redundancy as none of the sentences repeat information."
0.7,"1. White House spokesman: Bush's last colonoscopy was in June 2002; no abnormalities found. - 1
2. Bush is scheduled to have the procedure, expected to take about 2 1/2 hours. - 1
3. White House: ""The president wants to encourage everybody to use surveillance."" - 0.5
4. Bush is undergoing chemotherapy for cancer that began in his colon. - 1

Overall score: 0.875",0.7,0.7,0.8,No evaluation possible.
"- ""About 2,000 customers without power in San Francisco area"" - 1
- ""Police: 'We had quite a spike in calls, mostly calls of inquiry, none of any injury, no damage'"" - 1
- ""The quake was centered about two miles east-northeast of Oakland, at a depth of 3.6 miles"" - 1
- ""The shaking lasted about 50 seconds, USGS says"" - 1

Overall score: 1",0.8,0.8,0.8,0.8,0.8
"1. Suspect escaped ""immediately after the bomb exploded,"" Algeria's interior minister says. (0.8)
2. President Bouteflika says terrorist acts have nothing in common with the noble values of Islam. (0.9)
3. Explosion occurred at 5 p.m. about 20 meters (65 feet) from a mosque in Batna, east of Algiers. (0.9)
4. Algeria faces a continuing Islamic insurgency, according to the CIA. (0.9)","The summary sentences score as follows:

1. ""Algeria's Interior Minister Noureddine Yazid Zerhouni says."" - 0 (redundant)
2. ""The bomb went off 15 minutes before the expected arrival of President Abdel-Aziz Bouteflika."" - 0.5 (partially redundant)
3. ""Algeria faces a continuing Islamic insurgency, the CIA says."" - 0 (redundant)
4. ""Algeria is facing a continued Islamic insurgency."" - 1 (non-redundant)

Overall, the summary has a score of 1 for non-redundancy.",0.5,0.9,"1. NEW: Interior minister: Suspect tried to go beyond security cordon. (0.9)
2. NEW: Bouteflika says terrorist acts have nothing in common with the noble values of Islam. (0.9)
3. At least 14 people killed, 60 others wounded in attack in Batna, east of Algiers. (1)
4. No immediate claim of responsibility for the bombing. (1)

Overall score: (0.9 + 0.9 + 1 + 1) / 4 = 0.95","1. Bomb went off 15 minutes before the expected arrival of President Bouteflika.
2. It wasn't clear if the bomb was caused by a suicide bomber or if it was planted.
3. Algeria faces a continuing Islamic insurgency, according to the CIA.

The summary contains all the necessary information from the article without any redundancy. Therefore, the score for non-redundancy is 1."
0.2,0.6,0.5,0.7,0.8,0.9
0.8,"1. lender bailed out by the bank of england after heavily slashing profit forecasts. - 1 (non-redundant)
2. customers are believed to have already withdrawn about £1 billion ( $ 2 billion ) since the bank's woes were revealed. - 1 (non-redundant)
3. shares in northern rock dropped up to 30 percent in friday trading. - 1 (non-redundant)",0.7,0.6,"1. Savers emptying accounts at Northern Rock for a second day.
2. Northern Rock was bailed out by the Bank of England after slashing profit forecasts.
3. Shares in Northern Rock dropped up to 30 percent in Friday trading.
4. British Bankers' Association urged customers to ""calm down"".

Score: 1","1. Savers at leading UK mortgage bank lined up for a second day to empty accounts.
    Score: 1 (non-redundant)

2. Northern Rock was bailed out by the Bank of England after slashing profit forecasts.
    Score: 1 (non-redundant)

3. British Bankers' Association has urged customers to ""calm down"".
    Score: 1 (non-redundant)"
0.7,0.4,0.2,0.8,0.8,0.8
0.8,0.9,"I would score the summary a 0.8 for non-redundancy. While it does capture the main points of the article, it repeats the information about John Terry's injury and the uncertainty of his availability.",0.7,0.8,0.8
0.875,0.75,0.6,0.7,0.8,0.8
0.8,0.5,1,0.7,"1. ""Blackwater says it fired two employees for stealing from the company."" - This sentence is not redundant with any other sentence in the summary. Score: 1
2. ""Company says it has 'no knowledge of any employee improperly exporting weapons'"" - This sentence is not redundant with any other sentence in the summary. Score: 1
3. ""Federal prosecutors are investigating allegations that employees illegally purchased weapons."" - This sentence is not redundant with any other sentence in the summary. Score: 1
4. ""20 Iraqi civilians were shot to death last weekend by Blackwater guards."" - This sentence is not redundant with any other sentence in the summary. Score: 1

The overall score for non-redundancy is 1.","1. Blackwater denies allegations of being involved in unlawful arms activities.
2. Federal prosecutors are investigating allegations that Blackwater employees illegally purchased and sold weapons in Iraq.
3. Blackwater is a security firm hired by the State Department to guard U.S. staff in Iraq.
4. Blackwater's operations were suspended after 20 Iraqi civilians were shot to death last weekend."
0.7,Summary score: 1,0.5,0.8,0.95,0.9
The summary is not redundant and does not repeat any information. It accurately captures the main points of the article without redundancy. I would score it as 1 for non-redundancy.,0.8,0.4,0.5,"1. Filmmaker Michael Moore and CNN's Sanjay Gupta argue over Gupta's report on Moore's film ""Sicko""
2. Gupta states that the American health care system is broken and praises Moore for raising awareness
3. Moore disputes Gupta's claim that the facts in his film were fudged
4. Both agree that problems exist in the American health care system and need to be fixed
5. Gupta expresses concern that ""Sicko"" may give the impression that health care in other countries is free, while Moore argues that Americans pay more in copays, deductibles, and insurance premiums
6. Moore suggests putting health care in the hands of the government, while Gupta questions this solution given Moore's previous criticism of the Bush administration
7. Moore expresses frustration that the discussion has focused on correcting Gupta's facts rather than addressing the issue of the ailing health care system. 

Score: 0.875",0.8
0.67,0.7,0.8,"I would score the summary a 0.8 in terms of non-redundancy. While the summary does include some repeated information from the article, such as the body being dragged through the streets and the number of Ethiopian soldiers killed, it does not include all of the information from the article. Therefore, it can be considered mostly accurate but not fully non-redundant.","1. Ethiopian soldier's body dragged through Mogadishu after gun battles.
2. Fighting between Ethiopian troops and Islamic insurgents kills 19, witnesses say.
3. U.S. troops were dragged through the streets of Somalia in 1993.
4. Ethiopian troops arrived in Somalia in December 2006 to help a weak Somali government.

Score: 1","1. Ethiopian soldier dragged through streets of Mogadishu after gun battles kill 19 people: 1 (non-redundant)
2. Insurgents pulled body out of a car and left it with the crowd, witnesses say: 1 (non-redundant)
3. Another battle broke out on the city's south side Thursday morning: 1 (non-redundant)
4. Washington has long been concerned Somalia could turn into a safe haven for terrorists: 1 (non-redundant)"
